0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3.35E-13,1.45E-11,0.651222122,4.55E-14,3.62E-12,0.010446168,0.055487946,0.080584435,0.011712268,0.01400198,0.00019389,0.00520778,0.006073104,0.005841793,0.078536127,8.12E-12,0.011373393,0.000887767,0.068410075,2.12E-05
3.35E-13,1.45E-11,0.65123026,4.56E-14,3.61E-12,0.010434999,0.05548697,0.080585436,0.011712007,0.014002117,0.000193909,0.005207752,0.006073479,0.005842825,0.078537089,8.13E-12,0.011373536,0.000887646,0.068410825,2.12E-05
3.20E-13,1.04E-11,0.648476337,4.50E-14,1.93E-12,0.010593049,0.055007833,0.081531464,0.009656602,0.018157957,0.000166853,0.005191213,0.006302477,0.005797842,0.078643021,7.22E-12,0.011326159,0.000940441,0.068187269,2.15E-05
3.20E-13,1.04E-11,0.648478253,4.50E-14,1.93E-12,0.010591007,0.055011436,0.081530873,0.009653505,0.018160703,0.000166785,0.005191242,0.006301941,0.005795653,0.078642532,7.21E-12,0.011326192,0.000940564,0.06818783,2.15E-05
3.20E-13,1.04E-11,0.648478153,4.50E-14,1.93E-12,0.010591048,0.055011489,0.081530863,0.009653585,0.018160585,0.000166787,0.005191241,0.006301947,0.00579568,0.078642541,7.21E-12,0.01132619,0.000940562,0.068187843,2.15E-05
3.20E-13,1.04E-11,0.648478217,4.50E-14,1.93E-12,0.010590955,0.055011632,0.081530381,0.009653815,0.018160536,0.00016679,0.00519128,0.006301977,0.005795753,0.078642569,7.21E-12,0.011326193,0.000940569,0.068187852,2.15E-05
2.84E-13,9.28E-12,0.64772729,4.68E-14,1.81E-12,0.01104106,0.055439859,0.081812737,0.009135937,0.017948173,0.000164743,0.005185586,0.006488678,0.006010653,0.078513418,7.03E-12,0.011314251,0.001026534,0.068169597,2.15E-05
2.71E-13,9.02E-12,0.648349126,3.80E-14,1.71E-12,0.010793867,0.055082127,0.081399952,0.009179386,0.017984681,0.00016639,0.005194604,0.006543142,0.006092084,0.07858654,6.21E-12,0.011324022,0.001033277,0.068249342,2.15E-05
2.71E-13,9.02E-12,0.648349474,3.80E-14,1.71E-12,0.0107935,0.055082022,0.081399997,0.00917938,0.017984672,0.00016639,0.005194603,0.006543154,0.006092109,0.078586591,6.21E-12,0.011324028,0.001033267,0.068249352,2.15E-05
3.01E-13,9.46E-12,0.643284162,4.80E-14,2.08E-12,0.010589078,0.055092752,0.084129469,0.010076157,0.016585899,0.000194301,0.005215002,0.006682601,0.005858538,0.077601258,5.02E-12,0.011209445,0.001025452,0.072433643,2.22E-05
3.01E-13,9.46E-12,0.643284162,4.80E-14,2.08E-12,0.010589078,0.055092752,0.084129469,0.010076157,0.016585899,0.000194301,0.005215002,0.006682601,0.005858538,0.077601258,5.02E-12,0.011209445,0.001025452,0.072433643,2.22E-05
3.03E-13,9.25E-12,0.639081922,5.00E-14,2.01E-12,0.01046676,0.057299107,0.077214969,0.009928638,0.015246529,0.00019457,0.005693502,0.007421045,0.006328345,0.084726646,5.21E-12,0.011249926,0.000934442,0.074191995,2.16E-05
3.03E-13,9.24E-12,0.639390861,5.04E-14,2.01E-12,0.010307552,0.057216606,0.077141415,0.00993039,0.015214732,0.000194983,0.005691721,0.007418699,0.00629997,0.084767117,4.78E-12,0.011255262,0.000925411,0.07422368,2.16E-05
3.03E-13,9.24E-12,0.639390861,5.04E-14,2.01E-12,0.010307552,0.057216606,0.077141415,0.00993039,0.015214732,0.000194983,0.005691721,0.007418699,0.00629997,0.084767117,4.78E-12,0.011255262,0.000925411,0.07422368,2.16E-05
3.03E-13,9.24E-12,0.639390861,5.04E-14,2.01E-12,0.010307552,0.057216606,0.077141415,0.00993039,0.015214732,0.000194983,0.005691721,0.007418699,0.00629997,0.084767117,4.78E-12,0.011255262,0.000925411,0.07422368,2.16E-05
3.03E-13,9.24E-12,0.639390861,5.04E-14,2.01E-12,0.010307552,0.057216606,0.077141415,0.00993039,0.015214732,0.000194983,0.005691721,0.007418699,0.00629997,0.084767117,4.78E-12,0.011255262,0.000925411,0.07422368,2.16E-05
3.40E-13,9.91E-12,0.638930507,6.45E-14,2.49E-12,0.010242408,0.05766452,0.077202672,0.010384919,0.015169484,0.000204669,0.005688058,0.007291874,0.006149878,0.084713734,5.60E-12,0.011246875,0.000921881,0.074166633,2.19E-05
3.40E-13,9.92E-12,0.639410318,6.49E-14,2.49E-12,0.010043208,0.05766888,0.077149769,0.010043009,0.015190571,0.000202802,0.005694075,0.0072962,0.006130115,0.084774287,4.26E-12,0.011255328,0.000919521,0.074200101,2.18E-05
3.40E-13,9.92E-12,0.639410129,6.49E-14,2.49E-12,0.010043071,0.057669371,0.077149665,0.01004296,0.015190584,0.0002028,0.005694077,0.007296228,0.006130089,0.084774285,4.26E-12,0.011255325,0.000919527,0.074200076,2.18E-05
3.28E-13,9.58E-12,0.639551598,6.30E-14,2.39E-12,0.010431062,0.057226072,0.07712704,0.009965219,0.015263904,0.000190912,0.005693654,0.007257291,0.00612678,0.084782505,4.24E-12,0.011257863,0.000886394,0.074218194,2.15E-05
3.28E-13,9.57E-12,0.639553199,6.30E-14,2.39E-12,0.010429911,0.057226122,0.077127292,0.009964293,0.015264075,0.000190892,0.005693649,0.007257067,0.00612675,0.084782701,4.24E-12,0.011257892,0.000886419,0.074218225,2.15E-05
3.22E-13,9.10E-12,0.639868893,6.18E-14,2.11E-12,0.010080325,0.057266089,0.077166186,0.010020239,0.015232691,0.000198111,0.005696484,0.007199226,0.006018026,0.084825291,4.29E-12,0.011263476,0.000889457,0.074253645,2.19E-05
3.22E-13,9.10E-12,0.639868893,6.18E-14,2.11E-12,0.010080325,0.057266089,0.077166186,0.010020239,0.015232691,0.000198111,0.005696484,0.007199226,0.006018026,0.084825291,4.29E-12,0.011263476,0.000889457,0.074253645,2.19E-05
3.22E-13,9.05E-12,0.639995898,6.16E-14,2.07E-12,0.009891746,0.05725969,0.077189228,0.010021929,0.015225479,0.000198237,0.005697883,0.007200851,0.006023498,0.084842265,4.33E-12,0.011265784,0.000892141,0.074273566,2.18E-05
3.23E-13,9.18E-12,0.640029206,6.22E-14,2.14E-12,0.009859051,0.057309327,0.077014523,0.010093645,0.015203834,0.000200861,0.005708649,0.007206478,0.006028229,0.084849093,4.32E-12,0.011266321,0.000891214,0.07431784,2.17E-05
3.29E-13,9.84E-12,0.638572217,6.40E-14,2.45E-12,0.010610869,0.057505243,0.077748845,0.010253397,0.015176356,0.000193064,0.005724008,0.007202961,0.006054173,0.084658158,4.38E-12,0.011240574,0.00089537,0.074143359,2.14E-05
3.21E-13,9.64E-12,0.63931905,6.18E-14,2.45E-12,0.010645093,0.057539125,0.076957486,0.01005265,0.015160729,0.000192465,0.005702095,0.007216421,0.006021262,0.084754884,4.25E-12,0.011253797,0.000893374,0.074270121,2.14E-05
2.52E-13,9.24E-12,0.632831231,3.86E-14,1.64E-12,0.009522401,0.056344394,0.079536759,0.008104636,0.024216232,0.000159855,0.006498219,0.007379195,0.006508552,0.084313551,3.55E-12,0.011128948,0.001064098,0.072370996,2.09E-05
2.52E-13,9.24E-12,0.632831015,3.86E-14,1.64E-12,0.009522378,0.056344446,0.079536924,0.008104751,0.024216219,0.000159857,0.006498214,0.007379192,0.006508549,0.084313523,3.55E-12,0.011128944,0.001064097,0.072370957,2.09E-05
2.52E-13,9.24E-12,0.632831201,3.86E-14,1.64E-12,0.009522478,0.05634416,0.079536921,0.008104779,0.024216207,0.000159857,0.006498218,0.007379184,0.006508531,0.08431355,3.55E-12,0.011128948,0.001064104,0.072370928,2.09E-05
2.52E-13,9.24E-12,0.632831201,3.86E-14,1.64E-12,0.009522478,0.05634416,0.079536921,0.008104779,0.024216207,0.000159857,0.006498218,0.007379184,0.006508531,0.08431355,3.55E-12,0.011128948,0.001064104,0.072370928,2.09E-05
2.60E-13,9.35E-12,0.631783662,3.89E-14,1.60E-12,0.010151802,0.05594756,0.08042188,0.008899463,0.023998418,0.000178437,0.006485573,0.007200992,0.006485497,0.084122436,3.37E-12,0.011109559,0.001011891,0.072182002,2.08E-05
2.34E-13,9.15E-12,0.632627185,3.18E-14,1.28E-12,0.009330016,0.055982126,0.079444714,0.008922057,0.024360687,0.000187054,0.006526019,0.007366733,0.006645846,0.084219797,3.32E-12,0.011123137,0.001000623,0.072243154,2.09E-05
2.31E-13,1.04E-11,0.633711873,3.16E-14,1.53E-12,0.008683697,0.055800238,0.07968944,0.007898502,0.024867868,0.000157819,0.006497011,0.00717612,0.006681581,0.084345687,3.58E-12,0.01114162,0.00098057,0.072347165,2.08E-05
